case,i,anode,dest,x,y,ndest,maxdif
    0,    2,    1,    1,200.00, 46.06, 38.50,  7.56
    0,    2,    1,    1,200.00, 46.06, 38.50,  7.56
    0,    2,    1,    1,200.00, 46.06, 38.50,  7.56
    0,    2,    1,    1,200.00, 46.06, 38.50,  7.56
    0,    2,    1,    1,200.00, 46.06, 38.50,  7.56
    0,    2,    1,    1,200.00, 46.06, 38.50,  7.56
    0,    2,    1,    1,200.00, 46.06, 38.50,  7.56
    0,    2,    1,    1,200.00, 46.06, 38.50,  7.56
    0,    2,    1,    1,200.00, 46.06, 38.50,  7.56
    0,    2,    1,    1,200.00, 46.06, 38.50,  7.56
    0,    2,    1,    1,200.00, 46.06, 38.50,  7.56
    0,    2,    1,    1,200.00, 46.06, 38.50,  7.56
    0,    2,    1,    1,200.00, 46.06, 38.50,  7.56
    0,    1,    1,    1,200.00, 24.53, 24.45,  0.08
    0,    1,    1,    1,191.68, 24.53, 24.45,  0.08
    0,    1,    1,    1,184.20, 24.53, 24.45,  0.08
    0,    1,    1,    1,159.01, 24.53, 24.45,  0.08
    0,    1,    1,    1,136.35, 24.53, 24.45,  0.08
    0,    1,    1,    1, 60.19, 24.53, 24.45,  0.08
    0,    1,    1,    1,200.00, 24.53, 24.45,  0.08
    0,    1,    1,    1,191.68, 24.53, 24.45,  0.08
    0,    1,    1,    1,184.20, 24.53, 24.45,  0.08
    0,    1,    1,    1,159.01, 24.53, 24.45,  0.08
    0,    1,    1,    1,136.35, 24.53, 24.45,  0.08
    0,    1,    1,    1, 60.19, 24.53, 24.45,  0.08
    0,    1,    1,    1,200.00, 24.53, 24.45,  0.08
    0,    1,    1,    1,191.68, 24.53, 24.45,  0.08
    0,    1,    1,    1,184.20, 24.53, 24.45,  0.08
    0,    1,    1,    1,159.01, 24.53, 24.45,  0.08
    0,    1,    1,    1,136.35, 24.53, 24.45,  0.08
    0,    1,    1,    1, 60.19, 24.53, 24.45,  0.08
    0,    1,    1,    1,200.00, 24.53, 24.45,  0.08
    0,    1,    1,    1,191.68, 24.53, 24.45,  0.08
    0,    1,    1,    1,184.20, 24.53, 24.45,  0.08
    0,    1,    1,    1,159.01, 24.53, 24.45,  0.08
    0,    1,    1,    1,136.35, 24.53, 24.45,  0.08
    0,    1,    1,    1, 60.19, 24.53, 24.45,  0.08
    0,    1,    1,    1,200.00, 24.53, 24.45,  0.08
    0,    1,    1,    1,191.68, 24.53, 24.45,  0.08
    0,    1,    1,    1,184.20, 24.53, 24.45,  0.08
    0,    1,    1,    1,159.01, 24.53, 24.45,  0.08
    0,    1,    1,    1,136.35, 24.53, 24.45,  0.08
    0,    1,    1,    1, 60.19, 24.53, 24.45,  0.08
    0,    1,    1,    1,200.00, 24.53, 24.45,  0.08
    0,    1,    1,    1,191.68, 24.53, 24.45,  0.08
    0,    1,    1,    1,184.20, 24.53, 24.45,  0.08
    0,    1,    1,    1,159.01, 24.53, 24.45,  0.08
    0,    1,    1,    1,136.35, 24.53, 24.45,  0.08
    0,    1,    1,    1, 60.19, 24.53, 24.45,  0.08
    0,    1,    1,    1,200.00, 24.53, 24.45,  0.08
    0,    1,    1,    1,191.68, 24.53, 24.45,  0.08
    0,    1,    1,    1,184.20, 24.53, 24.45,  0.08
    0,    1,    1,    1,159.01, 24.53, 24.45,  0.08
    0,    1,    1,    1,136.35, 24.53, 24.45,  0.08
    0,    1,    1,    1, 60.19, 24.53, 24.45,  0.08
    0,    2,    1,    1,200.00, 46.06, 38.50,  7.56
    0,    2,    1,    1,200.00, 46.06, 38.50,  7.56
    0,    2,    1,    1,200.00, 46.06, 38.50,  7.56
    0,    2,    1,    1,200.00, 46.06, 38.50,  7.56
    0,    2,    1,    1,200.00, 46.06, 38.50,  7.56
    0,    2,    1,    1,200.00, 46.06, 38.50,  7.56
    0,    2,    1,    1,200.00, 46.06, 38.50,  7.56
    0,    2,    1,    1,200.00, 46.06, 38.50,  7.56
    0,    2,    1,    1,200.00, 46.06, 38.50,  7.56
    0,    2,    1,    1,200.00, 46.06, 38.50,  7.56
    0,    2,    1,    1,200.00, 46.06, 38.50,  7.56
    0,    2,    1,    1,200.00, 46.06, 38.50,  7.56
    0,    2,    1,    1,200.00, 46.06, 38.50,  7.56
    0,    2,    1,    1,200.00, 46.06, 38.50,  7.56
    0,    1,    1,    1,200.00, 24.53, 24.45,  0.08
    0,    1,    1,    1,191.68, 24.53, 24.45,  0.08
    0,    1,    1,    1,184.20, 24.53, 24.45,  0.08
    0,    1,    1,    1,159.01, 24.53, 24.45,  0.08
    0,    1,    1,    1,136.35, 24.53, 24.45,  0.08
    0,    1,    1,    1, 60.19, 24.53, 24.45,  0.08
    0,    1,    1,    1,200.00, 24.53, 24.45,  0.08
    0,    1,    1,    1,191.68, 24.53, 24.45,  0.08
    0,    1,    1,    1,184.20, 24.53, 24.45,  0.08
    0,    1,    1,    1,159.01, 24.53, 24.45,  0.08
    0,    1,    1,    1,136.35, 24.53, 24.45,  0.08
    0,    1,    1,    1, 60.19, 24.53, 24.45,  0.08
    0,    1,    1,    1,200.00, 24.53, 24.45,  0.08
    0,    1,    1,    1,191.68, 24.53, 24.45,  0.08
    0,    1,    1,    1,184.20, 24.53, 24.45,  0.08
    0,    1,    1,    1,159.01, 24.53, 24.45,  0.08
    0,    1,    1,    1,136.35, 24.53, 24.45,  0.08
    0,    1,    1,    1, 60.19, 24.53, 24.45,  0.08
    0,    1,    1,    1,200.00, 24.53, 24.45,  0.08
    0,    1,    1,    1,191.68, 24.53, 24.45,  0.08
    0,    1,    1,    1,184.20, 24.53, 24.45,  0.08
    0,    1,    1,    1,159.01, 24.53, 24.45,  0.08
    0,    1,    1,    1,136.35, 24.53, 24.45,  0.08
    0,    1,    1,    1, 60.19, 24.53, 24.45,  0.08
    0,    1,    1,    1,200.00, 24.53, 24.45,  0.08
    0,    1,    1,    1,191.68, 24.53, 24.45,  0.08
    0,    1,    1,    1,184.20, 24.53, 24.45,  0.08
    0,    1,    1,    1,159.01, 24.53, 24.45,  0.08
    0,    1,    1,    1,136.35, 24.53, 24.45,  0.08
    0,    1,    1,    1, 60.19, 24.53, 24.45,  0.08
    0,    1,    1,    1,200.00, 24.53, 24.45,  0.08
    0,    1,    1,    1,191.68, 24.53, 24.45,  0.08
    0,    1,    1,    1,184.20, 24.53, 24.45,  0.08
    0,    1,    1,    1,159.01, 24.53, 24.45,  0.08
    0,    1,    1,    1,136.35, 24.53, 24.45,  0.08
    0,    1,    1,    1, 60.19, 24.53, 24.45,  0.08
    0,    1,    1,    1,200.00, 24.53, 24.45,  0.08
    0,    1,    1,    1,191.68, 24.53, 24.45,  0.08
    0,    1,    1,    1,184.20, 24.53, 24.45,  0.08
    0,    1,    1,    1,159.01, 24.53, 24.45,  0.08
    0,    1,    1,    1,136.35, 24.53, 24.45,  0.08
    0,    1,    1,    1, 60.19, 24.53, 24.45,  0.08
    0,    1,    1,    1,200.00, 24.53, 24.45,  0.08
    0,    1,    1,    1,191.68, 24.53, 24.45,  0.08
    0,    1,    1,    1,184.20, 24.53, 24.45,  0.08
    0,    1,    1,    1,159.01, 24.53, 24.45,  0.08
    0,    1,    1,    1,136.35, 24.53, 24.45,  0.08
    0,    1,    1,    1, 60.19, 24.53, 24.45,  0.08
    0,    2,    1,    1,200.00, 46.06, 38.50,  7.56
    0,    2,    1,    1,200.00, 46.06, 38.50,  7.56
    0,    2,    1,    1,200.00, 46.06, 38.50,  7.56
    0,    2,    1,    1,200.00, 46.06, 38.50,  7.56
    0,    2,    1,    1,200.00, 46.06, 38.50,  7.56
    0,    2,    1,    1,200.00, 46.06, 38.50,  7.56
    0,    2,    1,    1,200.00, 46.06, 38.50,  7.56
    0,    2,    1,    1,200.00, 46.06, 38.50,  7.56
    0,    2,    1,    1,200.00, 46.06, 38.50,  7.56
    0,    2,    1,    1,200.00, 46.06, 38.50,  7.56
    0,    2,    1,    1,200.00, 46.06, 38.50,  7.56
    0,    2,    1,    1,200.00, 46.06, 38.50,  7.56
    0,    2,    1,    1,200.00, 46.06, 38.50,  7.56
    0,    2,    1,    1,200.00, 46.06, 38.50,  7.56
    0,    1,    1,    1,200.00, 24.53, 24.45,  0.08
    0,    1,    1,    1,191.68, 24.53, 24.45,  0.08
    0,    1,    1,    1,184.20, 24.53, 24.45,  0.08
    0,    1,    1,    1,159.01, 24.53, 24.45,  0.08
    0,    1,    1,    1,136.35, 24.53, 24.45,  0.08
    0,    1,    1,    1, 60.19, 24.53, 24.45,  0.08
    0,    1,    1,    1,200.00, 24.53, 24.45,  0.08
    0,    1,    1,    1,191.68, 24.53, 24.45,  0.08
    0,    1,    1,    1,184.20, 24.53, 24.45,  0.08
    0,    1,    1,    1,159.01, 24.53, 24.45,  0.08
    0,    1,    1,    1,136.35, 24.53, 24.45,  0.08
    0,    1,    1,    1, 60.19, 24.53, 24.45,  0.08
    0,    1,    1,    1,200.00, 24.53, 24.45,  0.08
    0,    1,    1,    1,191.68, 24.53, 24.45,  0.08
    0,    1,    1,    1,184.20, 24.53, 24.45,  0.08
    0,    1,    1,    1,159.01, 24.53, 24.45,  0.08
    0,    1,    1,    1,136.35, 24.53, 24.45,  0.08
    0,    1,    1,    1, 60.19, 24.53, 24.45,  0.08
    0,    1,    1,    1,200.00, 24.53, 24.45,  0.08
    0,    1,    1,    1,191.68, 24.53, 24.45,  0.08
    0,    1,    1,    1,184.20, 24.53, 24.45,  0.08
    0,    1,    1,    1,159.01, 24.53, 24.45,  0.08
    0,    1,    1,    1,136.35, 24.53, 24.45,  0.08
    0,    1,    1,    1, 60.19, 24.53, 24.45,  0.08
    0,    1,    1,    1,200.00, 24.53, 24.45,  0.08
    0,    1,    1,    1,191.68, 24.53, 24.45,  0.08
    0,    1,    1,    1,184.20, 24.53, 24.45,  0.08
    0,    1,    1,    1,159.01, 24.53, 24.45,  0.08
    0,    1,    1,    1,136.35, 24.53, 24.45,  0.08
    0,    1,    1,    1, 60.19, 24.53, 24.45,  0.08
    0,    2,    1,    1,200.00, 46.06, 38.50,  7.56
    0,    2,    1,    1,200.00, 46.06, 38.50,  7.56
    0,    2,    1,    1,200.00, 46.06, 38.50,  7.56
    0,    2,    1,    1,200.00, 46.06, 38.50,  7.56
    0,    2,    1,    1,200.00, 46.06, 38.50,  7.56
    0,    2,    1,    1,200.00, 46.06, 38.50,  7.56
    0,    2,    1,    1,200.00, 46.06, 38.50,  7.56
    0,    2,    1,    1,200.00, 46.06, 38.50,  7.56
    0,    2,    1,    1,200.00, 46.06, 38.50,  7.56
    0,    2,    1,    1,200.00, 46.06, 38.50,  7.56
    0,    2,    1,    1,200.00, 46.06, 38.50,  7.56
    0,    2,    1,    1,200.00, 46.06, 38.50,  7.56
    0,    2,    1,    1,200.00, 46.06, 38.50,  7.56
    0,    2,    1,    1,200.00, 46.06, 38.50,  7.56
    0,    2,    1,    1,200.00, 46.06, 38.50,  7.56
    0,    1,    1,    1,200.00, 24.53, 24.45,  0.08
    0,    1,    1,    1,191.68, 24.53, 24.45,  0.08
    0,    1,    1,    1,184.20, 24.53, 24.45,  0.08
    0,    1,    1,    1,159.01, 24.53, 24.45,  0.08
    0,    1,    1,    1,136.35, 24.53, 24.45,  0.08
    0,    1,    1,    1, 60.19, 24.53, 24.45,  0.08
    0,    1,    1,    1,200.00, 24.53, 24.45,  0.08
    0,    1,    1,    1,191.68, 24.53, 24.45,  0.08
    0,    1,    1,    1,184.20, 24.53, 24.45,  0.08
    0,    1,    1,    1,159.01, 24.53, 24.45,  0.08
    0,    1,    1,    1,136.35, 24.53, 24.45,  0.08
    0,    1,    1,    1, 60.19, 24.53, 24.45,  0.08
    0,    1,    1,    1,200.00, 24.53, 24.45,  0.08
    0,    1,    1,    1,191.68, 24.53, 24.45,  0.08
    0,    1,    1,    1,184.20, 24.53, 24.45,  0.08
    0,    1,    1,    1,159.01, 24.53, 24.45,  0.08
    0,    1,    1,    1,136.35, 24.53, 24.45,  0.08
    0,    1,    1,    1, 60.19, 24.53, 24.45,  0.08
    0,    1,    1,    1,200.00, 24.53, 24.45,  0.08
    0,    1,    1,    1,191.68, 24.53, 24.45,  0.08
    0,    1,    1,    1,184.20, 24.53, 24.45,  0.08
    0,    1,    1,    1,159.01, 24.53, 24.45,  0.08
    0,    1,    1,    1,136.35, 24.53, 24.45,  0.08
    0,    1,    1,    1, 60.19, 24.53, 24.45,  0.08
    0,    1,    1,    1,200.00, 24.53, 24.45,  0.08
    0,    1,    1,    1,191.68, 24.53, 24.45,  0.08
    0,    1,    1,    1,184.20, 24.53, 24.45,  0.08
    0,    1,    1,    1,159.01, 24.53, 24.45,  0.08
    0,    1,    1,    1,136.35, 24.53, 24.45,  0.08
    0,    1,    1,    1, 60.19, 24.53, 24.45,  0.08
    0,    1,    1,    1,200.00, 24.53, 24.45,  0.08
    0,    1,    1,    1,191.68, 24.53, 24.45,  0.08
    0,    1,    1,    1,184.20, 24.53, 24.45,  0.08
    0,    1,    1,    1,159.01, 24.53, 24.45,  0.08
    0,    1,    1,    1,136.35, 24.53, 24.45,  0.08
    0,    1,    1,    1, 60.19, 24.53, 24.45,  0.08
    0,    1,    1,    1,200.00, 24.53, 24.45,  0.08
    0,    1,    1,    1,191.68, 24.53, 24.45,  0.08
    0,    1,    1,    1,184.20, 24.53, 24.45,  0.08
    0,    1,    1,    1,159.01, 24.53, 24.45,  0.08
    0,    1,    1,    1,136.35, 24.53, 24.45,  0.08
    0,    1,    1,    1, 60.19, 24.53, 24.45,  0.08
    0,    2,    1,    1,200.00, 46.06, 38.50,  7.56
    0,    2,    1,    1,200.00, 46.06, 38.50,  7.56
    0,    2,    1,    1,200.00, 46.06, 38.50,  7.56
    0,    2,    1,    1,200.00, 46.06, 38.50,  7.56
    0,    2,    1,    1,200.00, 46.06, 38.50,  7.56
    0,    2,    1,    1,200.00, 46.06, 38.50,  7.56
    0,    2,    1,    1,200.00, 46.06, 38.50,  7.56
    0,    2,    1,    1,200.00, 46.06, 38.50,  7.56
    0,    2,    1,    1,200.00, 46.06, 38.50,  7.56
    0,    2,    1,    1,200.00, 46.06, 38.50,  7.56
    0,    2,    1,    1,200.00, 46.06, 38.50,  7.56
    0,    2,    1,    1,200.00, 46.06, 38.50,  7.56
    0,    2,    1,    1,200.00, 46.06, 38.50,  7.56
    0,    2,    1,    1,200.00, 46.06, 38.50,  7.56
    0,    2,    1,    1,200.00, 46.06, 38.50,  7.56
    0,    1,    1,    1,200.00, 24.53, 24.45,  0.08
    0,    1,    1,    1,191.68, 24.53, 24.45,  0.08
    0,    1,    1,    1,184.20, 24.53, 24.45,  0.08
    0,    1,    1,    1,159.01, 24.53, 24.45,  0.08
    0,    1,    1,    1,136.35, 24.53, 24.45,  0.08
    0,    1,    1,    1, 60.19, 24.53, 24.45,  0.08
    0,    1,    1,    1,200.00, 24.53, 24.45,  0.08
    0,    1,    1,    1,191.68, 24.53, 24.45,  0.08
    0,    1,    1,    1,184.20, 24.53, 24.45,  0.08
    0,    1,    1,    1,159.01, 24.53, 24.45,  0.08
    0,    1,    1,    1,136.35, 24.53, 24.45,  0.08
    0,    1,    1,    1, 60.19, 24.53, 24.45,  0.08
    0,    1,    1,    1,200.00, 24.53, 24.45,  0.08
    0,    1,    1,    1,191.68, 24.53, 24.45,  0.08
    0,    1,    1,    1,184.20, 24.53, 24.45,  0.08
    0,    1,    1,    1,159.01, 24.53, 24.45,  0.08
    0,    1,    1,    1,136.35, 24.53, 24.45,  0.08
    0,    1,    1,    1, 60.19, 24.53, 24.45,  0.08
    0,    1,    1,    1,200.00, 24.53, 24.45,  0.08
    0,    1,    1,    1,191.68, 24.53, 24.45,  0.08
    0,    1,    1,    1,184.20, 24.53, 24.45,  0.08
    0,    1,    1,    1,159.01, 24.53, 24.45,  0.08
    0,    1,    1,    1,136.35, 24.53, 24.45,  0.08
    0,    1,    1,    1, 60.19, 24.53, 24.45,  0.08
    0,    1,    1,    1,200.00, 24.53, 24.45,  0.08
    0,    1,    1,    1,191.68, 24.53, 24.45,  0.08
    0,    1,    1,    1,184.20, 24.53, 24.45,  0.08
    0,    1,    1,    1,159.01, 24.53, 24.45,  0.08
    0,    1,    1,    1,136.35, 24.53, 24.45,  0.08
    0,    1,    1,    1, 60.19, 24.53, 24.45,  0.08
    0,    1,    1,    1,200.00, 24.53, 24.45,  0.08
    0,    1,    1,    1,191.68, 24.53, 24.45,  0.08
    0,    1,    1,    1,184.20, 24.53, 24.45,  0.08
    0,    1,    1,    1,159.01, 24.53, 24.45,  0.08
    0,    1,    1,    1,136.35, 24.53, 24.45,  0.08
    0,    1,    1,    1, 60.19, 24.53, 24.45,  0.08
    0,    1,    1,    1,200.00, 24.53, 24.45,  0.08
    0,    1,    1,    1,191.68, 24.53, 24.45,  0.08
    0,    1,    1,    1,184.20, 24.53, 24.45,  0.08
    0,    1,    1,    1,159.01, 24.53, 24.45,  0.08
    0,    1,    1,    1,136.35, 24.53, 24.45,  0.08
    0,    1,    1,    1, 60.19, 24.53, 24.45,  0.08
    0,    1,    1,    1,200.00, 24.53, 24.45,  0.08
    0,    1,    1,    1,191.68, 24.53, 24.45,  0.08
    0,    1,    1,    1,184.20, 24.53, 24.45,  0.08
    0,    1,    1,    1,159.01, 24.53, 24.45,  0.08
    0,    1,    1,    1,136.35, 24.53, 24.45,  0.08
    0,    1,    1,    1, 60.19, 24.53, 24.45,  0.08
    0,    2,    1,    1,200.00, 46.06, 38.50,  7.56
    0,    2,    1,    1,200.00, 46.06, 38.50,  7.56
    0,    2,    1,    1,200.00, 46.06, 38.50,  7.56
    0,    2,    1,    1,200.00, 46.06, 38.50,  7.56
    0,    2,    1,    1,200.00, 46.06, 38.50,  7.56
    0,    2,    1,    1,200.00, 46.06, 38.50,  7.56
    0,    2,    1,    1,200.00, 46.06, 38.50,  7.56
    0,    2,    1,    1,200.00, 46.06, 38.50,  7.56
    0,    2,    1,    1,200.00, 46.06, 38.50,  7.56
    0,    2,    1,    1,200.00, 46.06, 38.50,  7.56
    0,    2,    1,    1,200.00, 46.06, 38.50,  7.56
    0,    2,    1,    1,200.00, 46.06, 38.50,  7.56
    0,    2,    1,    1,200.00, 46.06, 38.50,  7.56
    0,    2,    1,    1,200.00, 46.06, 38.50,  7.56
    0,    2,    1,    1,200.00, 46.06, 38.50,  7.56
    0,    2,    1,    1,200.00, 46.06, 38.50,  7.56
    0,    1,    1,    1,200.00, 24.53, 24.45,  0.08
    0,    1,    1,    1,191.68, 24.53, 24.45,  0.08
    0,    1,    1,    1,184.20, 24.53, 24.45,  0.08
    0,    1,    1,    1,159.01, 24.53, 24.45,  0.08
    0,    1,    1,    1,136.35, 24.53, 24.45,  0.08
    0,    1,    1,    1, 60.19, 24.53, 24.45,  0.08
    0,    1,    1,    1,200.00, 24.53, 24.45,  0.08
    0,    1,    1,    1,191.68, 24.53, 24.45,  0.08
    0,    1,    1,    1,184.20, 24.53, 24.45,  0.08
    0,    1,    1,    1,159.01, 24.53, 24.45,  0.08
    0,    1,    1,    1,136.35, 24.53, 24.45,  0.08
    0,    1,    1,    1, 60.19, 24.53, 24.45,  0.08
    0,    1,    1,    1,200.00, 24.53, 24.45,  0.08
    0,    1,    1,    1,191.68, 24.53, 24.45,  0.08
    0,    1,    1,    1,184.20, 24.53, 24.45,  0.08
    0,    1,    1,    1,159.01, 24.53, 24.45,  0.08
    0,    1,    1,    1,136.35, 24.53, 24.45,  0.08
    0,    1,    1,    1, 60.19, 24.53, 24.45,  0.08
    0,    1,    1,    1,200.00, 24.53, 24.45,  0.08
    0,    1,    1,    1,191.68, 24.53, 24.45,  0.08
    0,    1,    1,    1,184.20, 24.53, 24.45,  0.08
    0,    1,    1,    1,159.01, 24.53, 24.45,  0.08
    0,    1,    1,    1,136.35, 24.53, 24.45,  0.08
    0,    1,    1,    1, 60.19, 24.53, 24.45,  0.08
    0,    1,    1,    1,200.00, 24.53, 24.45,  0.08
    0,    1,    1,    1,191.68, 24.53, 24.45,  0.08
    0,    1,    1,    1,184.20, 24.53, 24.45,  0.08
    0,    1,    1,    1,159.01, 24.53, 24.45,  0.08
    0,    1,    1,    1,136.35, 24.53, 24.45,  0.08
    0,    1,    1,    1, 60.19, 24.53, 24.45,  0.08
    0,    1,    1,    1,200.00, 24.53, 24.45,  0.08
    0,    1,    1,    1,191.68, 24.53, 24.45,  0.08
    0,    1,    1,    1,184.20, 24.53, 24.45,  0.08
    0,    1,    1,    1,159.01, 24.53, 24.45,  0.08
    0,    1,    1,    1,136.35, 24.53, 24.45,  0.08
    0,    1,    1,    1, 60.19, 24.53, 24.45,  0.08
    0,    1,    1,    1,200.00, 24.53, 24.45,  0.08
    0,    1,    1,    1,191.68, 24.53, 24.45,  0.08
    0,    1,    1,    1,184.20, 24.53, 24.45,  0.08
    0,    1,    1,    1,159.01, 24.53, 24.45,  0.08
    0,    1,    1,    1,136.35, 24.53, 24.45,  0.08
    0,    1,    1,    1, 60.19, 24.53, 24.45,  0.08
    0,    2,    1,    1,200.00, 46.06, 38.50,  7.56
    0,    2,    1,    1,200.00, 46.06, 38.50,  7.56
    0,    2,    1,    1,200.00, 46.06, 38.50,  7.56
    0,    2,    1,    1,200.00, 46.06, 38.50,  7.56
    0,    2,    1,    1,200.00, 46.06, 38.50,  7.56
    0,    2,    1,    1,200.00, 46.06, 38.50,  7.56
    0,    2,    1,    1,200.00, 46.06, 38.50,  7.56
    0,    2,    1,    1,200.00, 46.06, 38.50,  7.56
    0,    2,    1,    1,200.00, 46.06, 38.50,  7.56
    0,    2,    1,    1,200.00, 46.06, 38.50,  7.56
    0,    2,    1,    1,200.00, 46.06, 38.50,  7.56
    0,    2,    1,    1,200.00, 46.06, 38.50,  7.56
    0,    1,    1,    1,200.00, 24.53, 24.45,  0.08
    0,    1,    1,    1,191.68, 24.53, 24.45,  0.08
    0,    1,    1,    1,184.20, 24.53, 24.45,  0.08
    0,    1,    1,    1,159.01, 24.53, 24.45,  0.08
    0,    1,    1,    1,136.35, 24.53, 24.45,  0.08
    0,    1,    1,    1, 60.19, 24.53, 24.45,  0.08
    0,    1,    1,    1,200.00, 24.53, 24.45,  0.08
    0,    1,    1,    1,191.68, 24.53, 24.45,  0.08
    0,    1,    1,    1,184.20, 24.53, 24.45,  0.08
    0,    1,    1,    1,159.01, 24.53, 24.45,  0.08
    0,    1,    1,    1,136.35, 24.53, 24.45,  0.08
    0,    1,    1,    1, 60.19, 24.53, 24.45,  0.08
    0,    2,    1,    1,200.00, 46.06, 38.50,  7.56
    0,    2,    1,    1,200.00, 46.06, 38.50,  7.56
    0,    2,    1,    1,200.00, 46.06, 38.50,  7.56
    0,    2,    1,    1,200.00, 46.06, 38.50,  7.56
    0,    2,    1,    1,200.00, 46.06, 38.50,  7.56
    0,    2,    1,    1,200.00, 46.06, 38.50,  7.56
    0,    2,    1,    1,200.00, 46.06, 38.50,  7.56
    0,    2,    1,    1,200.00, 46.06, 38.50,  7.56
    0,    2,    1,    1,200.00, 46.06, 38.50,  7.56
    0,    2,    1,    1,200.00, 46.06, 38.50,  7.56
    0,    1,    1,    1,200.00, 24.53, 24.45,  0.08
    0,    1,    1,    1,191.68, 24.53, 24.45,  0.08
    0,    1,    1,    1,184.20, 24.53, 24.45,  0.08
    0,    1,    1,    1,159.01, 24.53, 24.45,  0.08
    0,    1,    1,    1,136.35, 24.53, 24.45,  0.08
    0,    1,    1,    1, 60.19, 24.53, 24.45,  0.08
    0,    1,    1,    1,200.00, 24.53, 24.45,  0.08
    0,    1,    1,    1,191.68, 24.53, 24.45,  0.08
    0,    1,    1,    1,184.20, 24.53, 24.45,  0.08
    0,    1,    1,    1,159.01, 24.53, 24.45,  0.08
    0,    1,    1,    1,136.35, 24.53, 24.45,  0.08
    0,    1,    1,    1, 60.19, 24.53, 24.45,  0.08
    0,    1,    1,    1,200.00, 24.53, 24.45,  0.08
    0,    1,    1,    1,191.68, 24.53, 24.45,  0.08
    0,    1,    1,    1,184.20, 24.53, 24.45,  0.08
    0,    1,    1,    1,159.01, 24.53, 24.45,  0.08
    0,    1,    1,    1,136.35, 24.53, 24.45,  0.08
    0,    1,    1,    1, 60.19, 24.53, 24.45,  0.08
    0,    1,    1,    1,200.00, 24.53, 24.45,  0.08
    0,    1,    1,    1,191.68, 24.53, 24.45,  0.08
    0,    1,    1,    1,184.20, 24.53, 24.45,  0.08
    0,    1,    1,    1,159.01, 24.53, 24.45,  0.08
    0,    1,    1,    1,136.35, 24.53, 24.45,  0.08
    0,    1,    1,    1, 60.19, 24.53, 24.45,  0.08
    0,    1,    1,    1,200.00, 24.53, 24.45,  0.08
    0,    1,    1,    1,191.68, 24.53, 24.45,  0.08
    0,    1,    1,    1,184.20, 24.53, 24.45,  0.08
    0,    1,    1,    1,159.01, 24.53, 24.45,  0.08
    0,    1,    1,    1,136.35, 24.53, 24.45,  0.08
    0,    1,    1,    1, 60.19, 24.53, 24.45,  0.08
    0,    1,    1,    1,200.00, 24.53, 24.45,  0.08
    0,    1,    1,    1,191.68, 24.53, 24.45,  0.08
    0,    1,    1,    1,184.20, 24.53, 24.45,  0.08
    0,    1,    1,    1,159.01, 24.53, 24.45,  0.08
    0,    1,    1,    1,136.35, 24.53, 24.45,  0.08
    0,    1,    1,    1, 60.19, 24.53, 24.45,  0.08
    0,    1,    1,    1,200.00, 24.53, 24.45,  0.08
    0,    1,    1,    1,191.68, 24.53, 24.45,  0.08
    0,    1,    1,    1,184.20, 24.53, 24.45,  0.08
    0,    1,    1,    1,159.01, 24.53, 24.45,  0.08
    0,    1,    1,    1,136.35, 24.53, 24.45,  0.08
    0,    1,    1,    1, 60.19, 24.53, 24.45,  0.08
    0,    1,    1,    1,200.00, 24.53, 24.45,  0.08
    0,    1,    1,    1,191.68, 24.53, 24.45,  0.08
    0,    1,    1,    1,184.20, 24.53, 24.45,  0.08
    0,    1,    1,    1,159.01, 24.53, 24.45,  0.08
    0,    1,    1,    1,136.35, 24.53, 24.45,  0.08
    0,    1,    1,    1, 60.19, 24.53, 24.45,  0.08
    0,    1,    1,    1,200.00, 24.53, 24.45,  0.08
    0,    1,    1,    1,191.68, 24.53, 24.45,  0.08
    0,    1,    1,    1,184.20, 24.53, 24.45,  0.08
    0,    1,    1,    1,159.01, 24.53, 24.45,  0.08
    0,    1,    1,    1,136.35, 24.53, 24.45,  0.08
    0,    1,    1,    1, 60.19, 24.53, 24.45,  0.08
    0,    2,    1,    1,200.00, 46.06, 38.50,  7.56
    0,    2,    1,    1,200.00, 46.06, 38.50,  7.56
    0,    2,    1,    1,200.00, 46.06, 38.50,  7.56
    0,    2,    1,    1,200.00, 46.06, 38.50,  7.56
    0,    2,    1,    1,200.00, 46.06, 38.50,  7.56
    0,    2,    1,    1,200.00, 46.06, 38.50,  7.56
    0,    2,    1,    1,200.00, 46.06, 38.50,  7.56
    0,    2,    1,    1,200.00, 46.06, 38.50,  7.56
    0,    2,    1,    1,200.00, 46.06, 38.50,  7.56
    0,    2,    1,    1,200.00, 46.06, 38.50,  7.56
    0,    2,    1,    1,200.00, 46.06, 38.50,  7.56
    0,    1,    1,    1,200.00, 24.53, 24.45,  0.08
    0,    1,    1,    1,191.68, 24.53, 24.45,  0.08
    0,    1,    1,    1,184.20, 24.53, 24.45,  0.08
    0,    1,    1,    1,159.01, 24.53, 24.45,  0.08
    0,    1,    1,    1,136.35, 24.53, 24.45,  0.08
    0,    1,    1,    1, 60.19, 24.53, 24.45,  0.08
    0,    1,    1,    1,200.00, 24.53, 24.45,  0.08
    0,    1,    1,    1,191.68, 24.53, 24.45,  0.08
    0,    1,    1,    1,184.20, 24.53, 24.45,  0.08
    0,    1,    1,    1,159.01, 24.53, 24.45,  0.08
    0,    1,    1,    1,136.35, 24.53, 24.45,  0.08
